art_codigo;art_nombre;art_subgrupo;art_empresa;art_medida;art_tarifa;art_descripcion;art_tipoarticulo;art_tipodestino;art_tarifa_consumo;art_referencia;art_econ_codigo;art_estado;art_gravado;art_img_nombre;art_img_ubicacion;gru_id;tip_id;art_tienetarifacondicionada;art_nrouvt_tarifacondicion;art_tarifacondicionada;econ_id;tir_codigo;art_dia_sin_iva;artdpto_id;art_peso;art_tarifa_consumo_esp;art_tarcons_mayorvlriva;art_precio_venta;art_cantidad;art_precio_costo
50;Sabrimax  Queso X 510 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175883775;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;6000;4;3811
513;Capacillos Blancos # 2 X 25 Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;513;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;300;9;136
514;Capacillos Blancos # 3 X 25 Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;514;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;500;4;173
515;Capacillos Blancos  # 4 X 25 Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;515;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;500;4;196
524;Colorante Liquido Fucsia Jg  X 60 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880675;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;10803;3;7450
53;Sabrimax Pina X 510 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175884086;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;6000;4;3900
537;Leche En Polvo X 25 Kg;1938;901418981;g;;;Articulo;MERCANCIA;;537;;Activo;false;;;1577;563;;;;3641;NOAPLICA;;;;;;15;9;14
567;Domos Redondo 28 X 12 Cm X 50 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;567;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;2651;1;1828
580;Bandeja Darnel # 25 Honda;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;580;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;700;30;482
596;Molde De Aluminio Darnel 28 Oz X 250 Und;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;596;;Activo;true;;;1584;564;;;;3641;NOAPLICA;;;;;;571;18;393
605;Glicerina Carolesen X 626 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880385;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;658;100;454
73;Cucharas  Suraplas X 100 Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7709693020915;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;5300;10;4544
74;Tenedor Suraplas X 100 Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7709693020991;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;5000;9;4240
76;Servilleta Favorita  X 320 Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702120003352;;Activo;true;;;1579;564;;;;3637;NOAPLICA;;;;;;3400;9;2588
77;Servilleta Mia  X 200 Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707151601164;;Activo;true;;;1579;564;;;;3637;NOAPLICA;;;;;;2000;2;1693
79;Servilleta Nube  X 320 Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707151601751;;Activo;true;;;1579;564;;;;3637;NOAPLICA;;;;;;3300;10;2672
831;Esencia Hinojo Gourmet X 510 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7709990515343;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;7000;4;3319
836;Esencia Vainilla Negra Gourmet X 510 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7708350073103;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;5179;6;3572
86;Lexi Fondant Blanco Sugarcrapt X 1000 Gr;2057;901418981;UND;IVA19;;Articulo;MERCANCIA;;7597304218956;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;19000;8;12016
861;Salsa Para Glass Fresa Prodisaborx1000Gr;2120;901418981;UND;IVA19;;Articulo;MERCANCIA;;861;;Activo;true;;;1578;566;;;;3639;NOAPLICA;;;;;;6606;7;4556
